frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.96371, 1, 0.283851, 0.406684, -0.868353, 0.0414285, 0.40613, -0.912876, 0.220488, 0.427752, -0.876592, -0.0240112, 0.420595, -0.906931
2, 0.0333333, 0.964519, 1, 0.276852, 0.407701, -0.870134, 0.0558809, 0.396743, -0.916227, 0.210016, 0.429082, -0.878511, -0.0129957, 0.412227, -0.910989
3, 0.0666667, 0.964192, 1, 0.280302, 0.406239, -0.869713, 0.0589614, 0.393735, -0.917331, 0.21165, 0.428581, -0.878364, -0.0118126, 0.409962, -0.912026
4, 0.1, 0.964142, 1, 0.281171, 0.405008, -0.870007, 0.0580084, 0.393948, -0.9173, 0.211545, 0.429059, -0.878156, -0.0137799, 0.411774, -0.911182
5, 0.133333, 0.963646, 1, 0.280264, 0.40575, -0.869954, 0.0517922, 0.392345, -0.918359, 0.210013, 0.43131, -0.87742, -0.0206173, 0.411504, -0.911175
6, 0.166667, 0.958527, 1, 0.225161, 0.404967, -0.886174, 0.026644, 0.378492, -0.925221, 0.160314, 0.428777, -0.889073, -0.0392716, 0.396865, -0.917037
7, 0.2, 0.961464, 1, 0.250242, 0.353835, -0.90121, 0.0482894, 0.455702, -0.888821, 0.19753, 0.383269, -0.902267, -0.0063463, 0.478937, -0.877826
8, 0.233333, 0.9544, 1, 0.190254, 0.273854, -0.942766, 0.12625, 0.404934, -0.905588, 0.137684, 0.302036, -0.943301, 0.0715751, 0.430133, -0.899924
9, 0.266667, 0.955249, 1, 0.223481, 0.25681, -0.940268, 0.140925, 0.298077, -0.944082, 0.171805, 0.287523, -0.942239, 0.0880232, 0.326411, -0.941121
10, 0.3, 0.950753, 1, 0.210041, 0.228908, -0.950518, 0.110571, 0.229305, -0.967054, 0.161613, 0.26264, -0.951263, 0.0615445, 0.260537, -0.9635
11, 0.333333, 0.953474, 1, 0.236591, 0.225717, -0.945027, 0.159907, 0.165872, -0.973096, 0.191051, 0.262048, -0.945955, 0.11506, 0.200797, -0.972852
12, 0.366667, 0.946452, 1, 0.258796, 0.192316, -0.946593, 0.161609, 0.27932, -0.9465, 0.219645, 0.226235, -0.948986, 0.119834, 0.310012, -0.94315
13, 0.4, 0.949554, 1, 0.251181, 0.270648, -0.929332, 0.139735, 0.224261, -0.964459, 0.204051, 0.301467, -0.931386, 0.0928156, 0.252265, -0.963197
14, 0.433333, 0.949204, 1, 0.217335, 0.221791, -0.950565, 0.133698, 0.172166, -0.975953, 0.172841, 0.254001, -0.951635, 0.0900897, 0.202055, -0.975222
