frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.783391, 1, 1.26274, 0, 0, 0, 0.566746, 0.613812, 0, 0, 0.544316, 0, 0, 0, 1.43519, 0, 0, 0, 0, 1, 0, 0
2, 0.0333333, 0.790284, 1, 1.14039, 0, 0, 0, 0.777527, 0, 0.580187, 0, 0.580238, 0, 0, 0, 1.31203, 0, 0, 0, 0, 1, 0, 1
3, 0.0666667, 0.798463, 1, 1.14038, 0, 0, 0.636669, 0.726385, 0.649071, 0.593502, 0, 0.691043, 0, 0, 0, 1.28523, 0, 0, 0, 0, 1, 0, 0
4, 0.1, 0.796631, 1, 1.25616, 0, 0, 0.808046, 0.795007, 1.04319, 0.586356, 0, 0, 0, 0, 0, 1.3324, 0, 1, 0, 0, 1, 0, 0
5, 0.133333, 0.804023, 1, 1.39975, 0, 0, 0.733844, 0.755863, 1.00491, 0.522618, 0, 0.548193, 0.509919, 0, 0, 2.08563, 0, 1, 0, 0, 1, 0, 0
6, 0.166667, 0.807558, 1, 1.38658, 0, 0, 0.538384, 0.752152, 0, 0, 0, 0.513809, 0.501926, 0, 0, 2.17852, 0, 1, 0, 0, 1, 0, 0
7, 0.2, 0.808684, 1, 1.43798, 0, 0, 0, 0.755514, 0, 0.519684, 0, 0, 0, 0, 0, 2.15299, 0, 0, 0, 0, 1, 0, 0
8, 0.233333, 0.822788, 1, 1.20421, 0, 0, 0, 0.871972, 0, 0.564549, 0, 0, 0, 0, 0, 2.04439, 0, 1, 0, 0, 1, 0, 0
9, 0.266667, 0.803875, 1, 1.4295, 0, 0, 0.670441, 0.93213, 0.706198, 0.694608, 0, 0, 0, 0, 0, 1.7939, 0, 1, 0, 0, 1, 0, 0
10, 0.3, 0.816206, 1, 1.24892, 0, 0, 0.512563, 0.993338, 0, 0.739223, 0, 0, 0, 0, 0, 1.66592, 0, 1, 0, 0, 1, 0, 0
11, 0.333333, 0.809953, 1, 1.15351, 0, 0, 0.618778, 0.918798, 0.608198, 0.73199, 0, 0, 0, 0, 0, 0.808516, 0, 1, 0, 0, 1, 0, 0
12, 0.366667, 0.823999, 1, 1.27066, 0.954842, 0, 0.760109, 0.863825, 0.635454, 0.677683, 0, 0, 0, 0, 0, 1.25783, 0, 1, 0, 0, 1, 0, 0
13, 0.4, 0.825124, 1, 1.16201, 0, 0, 0.702619, 0.935396, 0.689136, 0.723701, 0, 0, 0.529207, 0, 0, 1.67161, 0, 0, 0, 0, 1, 0, 0
14, 0.433333, 0.82188, 1, 1.38585, 0, 0, 0, 0.782932, 0, 0.586515, 0, 0, 0.783362, 0, 0, 1.96933, 0, 0, 0, 0, 1, 0, 0
15, 0.466667, 0.83023, 1, 1.20703, 0, 0, 0.542536, 0.822482, 0, 0.614511, 0, 0, 0, 0, 0, 1.32516, 0, 0, 0, 0, 1, 0, 0
16, 0.5, 0.819226, 1, 1.22957, 0, 0, 0.761446, 0.858517, 0, 0.668082, 0, 0, 0, 0, 0, 1.84358, 0, 0, 0, 0, 1, 0, 1
17, 0.533333, 0.815453, 1, 1.22339, 0, 0, 0.651102, 0.813152, 0.83975, 0.602445, 0, 0, 0, 0, 0, 1.94403, 0, 0, 0, 0, 1, 0, 0
18, 0.566667, 0.806196, 1, 1.30561, 0, 0, 0.624957, 0.883441, 0.571488, 0.60954, 0, 0, 0, 0, 0, 1.80375, 0, 1, 0, 0, 1, 0, 0
19, 0.6, 0.805342, 1, 1.44602, 0, 0, 0, 0.863425, 0, 0.669984, 0, 0, 0, 0, 0, 2.44876, 0, 0, 0, 0, 1, 0, 0
20, 0.633333, 0.820501, 1, 1.38257, 0, 0, 0, 0.854204, 0.86278, 0.574482, 0, 0, 0, 0, 0, 1.75538, 0, 1, 0, 0, 1, 0, 0
21, 0.666667, 0.815819, 1, 1.62698, 0, 0, 0.562787, 0.787001, 0, 0, 0, 0, 0, 0, 0, 1.58173, 0, 0, 0, 0, 1, 0, 0
22, 0.7, 0.796739, 1, 1.68896, 0, 0, 0.633074, 0.821159, 0.594591, 0.512649, 0, 0, 0, 0, 0, 1.32625, 0, 0, 0, 0, 1, 0, 0
23, 0.733333, 0.797962, 1, 1.44201, 0, 0, 0.656112, 0.812792, 0.510205, 0.592569, 0, 0, 0.709923, 0, 0, 1.34784, 0, 0, 0, 0, 1, 0, 0
24, 0.766667, 0.809872, 1, 1.29184, 0.630163, 0, 0, 0.8578, 0.524479, 0.633815, 0, 0, 0.580332, 0, 0, 1.48104, 0, 0, 0, 0, 1, 0, 0
25, 0.8, 0.813711, 1, 1.65855, 0, 0, 0, 0.851351, 0.913967, 0.615023, 0, 0, 0.885748, 0, 0, 1.69427, 0, 0, 0, 0, 1, 0, 0
26, 0.833333, 0.806842, 1, 1.59768, 0, 0, 0, 0.923824, 0.601931, 0.610328, 0, 0, 0.589879, 0, 0, 1.65774, 0, 0, 0, 0, 1, 0, 0
27, 0.866667, 0.812002, 1, 1.2842, 0, 0, 0, 0.920989, 1.14257, 0.589939, 0, 0, 0.725076, 0, 0, 1.66811, 0, 0, 0, 0, 1, 0, 0
28, 0.9, 0.808529, 1, 1.32032, 0, 0, 0, 0.847817, 0.712415, 0.582256, 0, 0, 0, 0, 0, 2.15147, 0, 0, 0, 0, 1, 0, 0
29, 0.933333, 0.814416, 1, 1.49447, 0, 0, 0.649955, 0.786162, 1.03761, 0, 0.580431, 0, 0, 0, 0, 2.04231, 0, 0, 0, 0, 1, 0, 0
30, 0.966667, 0.80964, 1, 1.58691, 0, 0, 0.675371, 0.861062, 0.568704, 0.595475, 0, 0, 0.565943, 0, 0, 1.54426, 0, 0, 0, 0, 1, 0, 0
31, 1, 0.820339, 1, 1.57815, 0, 0, 0.609409, 0.803991, 0, 0.508889, 0, 0, 0.504029, 0, 0, 1.24631, 0, 0, 0, 0, 1, 0, 0
32, 1.03333, 0.843099, 1, 1.41103, 0, 0, 0.839708, 0.859074, 0, 0.585813, 0.65448, 0, 0.500102, 0, 0, 2.11945, 0, 0, 0, 0, 1, 0, 0
33, 1.06667, 0.843659, 1, 1.30015, 0, 0, 0.681658, 1.11718, 0, 0.802286, 0.538378, 1.03394, 0.58618, 0, 0, 2.53214, 0, 0, 0, 0, 1, 0, 0
34, 1.1, 0.82342, 1, 1.59525, 0, 0, 0.533772, 1.43251, 0, 1.01747, 0.744567, 1.48629, 0, 0, 0, 1.22707, 0, 0, 0, 0, 1, 1, 0
35, 1.13333, 0.813974, 1, 1.63487, 0, 0, 0, 1.78342, 0.603944, 1.34891, 0.683313, 2.22429, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1
36, 1.16667, 0.807598, 1, 1.63865, 0, 0, 0.553469, 1.86401, 0.796586, 1.39934, 0.764849, 1.82937, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1
37, 1.2, 0.777847, 1, 1.47944, 0.549324, 0, 0.533119, 1.93648, 0, 1.45484, 0.88943, 1.87862, 0.833156, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1
38, 1.23333, 0.785742, 1, 1.70027, 0.856274, 0, 0, 1.88288, 0.941555, 1.32458, 1.03199, 1.79055, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1
39, 1.26667, 0.783543, 1, 1.67944, 0, 0, 0.529394, 1.86169, 0, 1.27459, 0.897484, 2.04499, 0.891931, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0
40, 1.3, 0.779375, 1, 1.66032, 0, 0, 0.551785, 1.81919, 0.643934, 1.24016, 0.832, 1.9052, 0.720498, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1
41, 1.33333, 0.796236, 1, 1.67256, 0, 0, 0, 1.79839, 0.94473, 1.17377, 0.956985, 1.99838, 0.744338, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1
42, 1.36667, 0.771586, 1, 1.45215, 0, 0, 0.594199, 1.80522, 0, 1.07282, 0.800701, 1.87411, 0.620941, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
43, 1.4, 0.796906, 1, 1.74395, 0, 0, 0.541627, 1.78914, 0, 1.13722, 0.776173, 1.89036, 1.01537, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
44, 1.43333, 0.820662, 1, 1.94793, 0, 0, 0.629372, 1.79453, 0.820692, 1.19558, 0.894344, 1.68772, 0.733214, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1
45, 1.46667, 0.805305, 1, 1.73117, 0, 0, 0.622713, 1.80281, 0.600645, 1.18707, 0.810542, 2.00777, 0.751817, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
