frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.862698, 1, -0.0426702, 0.113071, -0.99267, -0.146451, 0.221127, -0.964186, -0.025168, 0.164006, -0.986138, -0.119325, 0.279243, -0.952777
2, 0.0333333, 0.870453, 1, -0.0476119, 0.115639, -0.99215, -0.140318, 0.228115, -0.96347, -0.0448434, 0.181779, -0.982316, -0.125184, 0.301132, -0.94533
3, 0.0666667, 0.871352, 1, -0.0449021, 0.122461, -0.991457, -0.134773, 0.2309, -0.963598, -0.0531582, 0.202756, -0.977785, -0.129231, 0.318226, -0.939166
4, 0.1, 0.865569, 1, -0.0272911, 0.119059, -0.992512, -0.136003, 0.22739, -0.96426, -0.0416018, 0.198573, -0.979203, -0.1352, 0.316732, -0.93883
5, 0.133333, 0.873511, 1, -0.0435284, 0.14879, -0.98791, -0.133502, 0.237438, -0.962185, -0.0533681, 0.241121, -0.969027, -0.130808, 0.337377, -0.932237
6, 0.166667, 0.865921, 1, -0.0297378, 0.166747, -0.985551, -0.135823, 0.238274, -0.961654, -0.0313505, 0.261784, -0.964617, -0.127475, 0.342739, -0.930742
7, 0.2, 0.850226, 1, -0.0463538, 0.147775, -0.987934, -0.151491, 0.225476, -0.962399, -0.0477539, 0.258777, -0.964756, -0.142543, 0.34476, -0.927805
8, 0.233333, 0.851334, 1, -0.0423511, 0.157431, -0.986621, -0.147532, 0.22455, -0.96323, -0.0360635, 0.277648, -0.960006, -0.132591, 0.352861, -0.926234
9, 0.266667, 0.845068, 1, -0.0485841, 0.144055, -0.988376, -0.154694, 0.220118, -0.963129, -0.0405132, 0.274334, -0.960781, -0.137473, 0.357461, -0.923755
10, 0.3, 0.852878, 1, -0.0313434, 0.151487, -0.987962, -0.144679, 0.226977, -0.963094, -0.0238909, 0.276765, -0.960641, -0.127941, 0.360386, -0.923988
11, 0.333333, 0.838685, 1, -0.00946141, 0.152661, -0.988233, -0.149836, 0.253643, -0.955623, -0.00839197, 0.276823, -0.960884, -0.135856, 0.387729, -0.911707
12, 0.366667, 0.828306, 1, -0.0332942, 0.165986, -0.985566, -0.135995, 0.261897, -0.955466, -0.0316816, 0.296831, -0.954404, -0.122255, 0.398702, -0.908895
13, 0.4, 0.839375, 1, 0.00369064, 0.186618, -0.982426, -0.14291, 0.233086, -0.961898, 0.0128621, 0.322635, -0.946436, -0.127499, 0.381158, -0.915676
14, 0.433333, 0.805493, 1, 0.00259589, 0.172884, -0.984939, -0.144937, 0.241918, -0.959411, 0.0119251, 0.313277, -0.949587, -0.126774, 0.393425, -0.910574
15, 0.466667, 0.825458, 1, -0.0141673, 0.183203, -0.982973, -0.126695, 0.231458, -0.96456, -0.00193608, 0.317608, -0.94822, -0.108197, 0.374904, -0.920728
16, 0.5, 0.830096, 1, 0.000437961, 0.179521, -0.983754, -0.131864, 0.235192, -0.962962, 0.0108412, 0.319569, -0.947501, -0.114259, 0.385633, -0.91555
17, 0.533333, 0.847539, 1, -0.000376425, 0.177945, -0.98404, -0.143118, 0.241898, -0.959689, -0.00212387, 0.32803, -0.944665, -0.136192, 0.402409, -0.905273
18, 0.566667, 0.857777, 1, -0.0117442, 0.166561, -0.985961, -0.135683, 0.231296, -0.963376, -0.00610942, 0.300093, -0.953891, -0.12164, 0.37436, -0.919271
19, 0.6, 0.853658, 1, -0.000695543, 0.206216, -0.978506, -0.126189, 0.251028, -0.959719, 0.0121149, 0.336179, -0.94172, -0.107352, 0.391521, -0.913886
20, 0.633333, 0.812122, 1, 0.0122373, 0.176577, -0.984211, -0.146925, 0.233864, -0.961104, 0.0186341, 0.309236, -0.950803, -0.132904, 0.379548, -0.915576
21, 0.666667, 0.846409, 1, -0.00165765, 0.168764, -0.985655, -0.149901, 0.244883, -0.957895, 0.00152361, 0.299296, -0.954159, -0.136974, 0.386416, -0.912097
22, 0.7, 0.84434, 1, -0.00986754, 0.180949, -0.983443, -0.133366, 0.243698, -0.960638, -0.00855323, 0.313754, -0.949466, -0.124139, 0.385307, -0.9144
23, 0.733333, 0.83995, 1, -0.0104895, 0.179836, -0.983641, -0.148712, 0.2315, -0.961401, -0.00952714, 0.308647, -0.951129, -0.140939, 0.371042, -0.917858
